id;total_population;total_male;total_female;potential_population
5371;410081;209852;200229;
6101;528855;260223;268632;
6102;246004;127630;118374;
6103;366520;190355;176165;
6104;257443;130310;127134;
6105;456072;235642;220430;
6106;492578;255057;237522;
6107;406472;209021;197452;
6108;253629;129076;124552;
6109;197164;101573;95591;
6110;201505;102753;98752;
6111;108640;55171;53469;
6112;560881;284215;276666;
6171;624619;311112;313507;
6172;214344;109434;104910;
6201;293170;155279;137891;
6202;443622;234527;209095;
6203;353147;180303;172844;
6204;134234;68473;65761;
6205;129067;67036;62031;
6206;59200;31459;27741;
6207;77791;41430;36361;
6208;188030;101023;87007;
6209;164687;86221;78466;
6210;126008;65570;60438;
6211;114408;60654;53754;
6212;119420;61425;57995;
6213;114943;59798;55145;
6271;273672;139581;134091;
6301;333062;170758;162304;
6302;329945;170692;159253;
6303;569436;289351;280085;
6304;305219;153167;152052;
6305;186085;93880;92205;
6306;231911;115919;115992;
6307;265717;133237;132480;
6308;230825;113604;117221;
6309;246195;125062;121133;
6310;340953;177086;163867;
6311;127009;63951;63058;
6371;690632;345767;344865;
6372;246641;126564;120077;
6401;272712;144764;127948;
6402;146827;77543;69284;
6403;747696;392531;355165;
6404;343951;186331;157620;
6405;219146;117931;101215;
6501;82984;44571;38413;
6502;134953;71899;63054;
6504;191386;101836;89550;
6409;157284;82076;75208;
6503;24677;13490;11187;
6471;633495;327189;306306;
6472;838847;434013;404834;
6571;250786;131260;119526;
6474;169669;88798;80871;
7101;237598;124517;113081;
7102;333536;171257;162279;
7103;130377;65911;64466;
7104;90467;46188;44279;
7105;207161;107108;100054;
7106;200113;101895;98218;
7107;78172;39971;38201;
7108;65939;32540;33399;
7109;110576;55256;55320;
7110;63929;33468;30461;
7111;70385;36637;33748;
7171;428579;215461;213118;
7172;211551;107632;103919;
7173;103276;52031;51245;
7174;123326;62541;60785;
7201;116611;58838;57773;
7202;364211;185378;178833;
7203;116795;59674;57121;
7204;244088;126417;117672;
7205;299674;152361;147313;
7206;230369;117500;112869;
7207;154763;79019;75744;
7208;472212;242182;230030;
7209;150418;76761;73657;
7210;233383;120146;113237;
7271;378335;190259;188076;
7301;132653;63895;68758;
7302;415093;196135;218958;
7303;185315;89406;95909;
7304;359293;173491;185802;
7305;292230;140542;151688;
7306;745006;366504;378502;
7307;240828;116574;124254;
7308;345508;169002;176507;
7309;329017;159477;169540;
7310;172552;82925;89627;
7311;750014;358477;391537;
7312;226427;106488;119939;
7313;395313;189359;205954;
7314;295338;144549;150789;
7315;371571;180255;191316;
7316;202893;101869;101024;
7317;355548;174877;180671;
7318;231195;116970;114226;
7322;307343;154242;153101;
7325;286350;147185;139165;
7326;228058;114675;113383;
7371;1484141;734550;749591;
7372;141678;69609;72069;
7373;175902;85559;90343;
7401;99614;40463;59151;
7402;217865;105579;112286;
7403;242746;124322;118424;
7404;193397;99161;94236;
7405;302840;154220;148620;
7406;174113;87852;86261;
7407;95643;45636;50007;
7408;144162;74362;69800;
7409;61847;31139;30708;
7410;60581;31742;28839;
7471;367858;185736;182122;
7472;161642;79989;81653;
7501;157241;79822;77419;
7502;374410;186897;187513;
7503;153082;77340;75742;
7504;156698;78579;78119;
7505;112687;57171;55516;
7571;209694;103060;106634;
7601;168400;82283;86117;
7602;431387;211546;219841;
7603;156460;79026;77434;
7604;277594;141466;136128;
7605;164171;85221;78950;
8101;111642;56023;55619;
8102;99236;48679;50557;
8103;371250;187380;183870;
8104;134701;69031;65670;
8105;93480;48563;44917;
8106;170380;86744;83636;
8107;111187;56610;54577;
8108;72683;36566;36117;
8109;61079;31293;29786;
8171;440480;220176;220304;
8172;71218;35055;36163;
8201;113255;58367;54888;
8202;52434;26847;25587;
8203;102288;49857;52431;
8204;225320;115453;109868;
8205;185622;95155;90467;
8206;89267;46531;42736;
8207;63600;32695;30905;
8271;221030;112628;108402;
8272;98854;49946;48908;
9101;75767;39803;35964;
9102;56534;29822;26712;
9103;30925;16612;14313;
9104;61443;33728;27715;
9105;165720;87943;77777;
9106;44736;23314;21422;
9107;84370;44520;39850;
9108;47128;25046;22082;
9109;13763;7104;6659;
9110;39786;19555;20231;
9171;237254;124196;113059;
9401;222539;114194;108345;
9402;212164;109148;103016;
9403;125424;66504;58920;
9404;144522;76717;67805;
9408;94530;48575;45955;
9409;143969;74009;69960;
9410;169472;88021;81451;
9411;122628;67664;54964;
9412;209198;115858;93340;
9413;65822;35456;30366;
9414;94400;47469;46931;
9415;92254;46958;45296;
9416;186317;95232;91085;
9417;73231;38032;35199;
9418;135874;73853;62021;
9419;38034;20351;17683;
9420;54795;29244;25551;
9426;29309;15120;14189;
9427;18948;9617;9331;
9428;22189;11307;10882;
9429;96729;52987;43742;
9430;176210;94419;81791;
9431;47288;25242;22046;
9432;60559;32228;28331;
9433;107243;56155;51088;
9434;94699;47028;47671;
9435;48061;24142;23919;
9436;71806;36976;34830;
9471;292460;156816;135644;
5206071;19606;9821;9785;13136
5206081;16682;8325;8357;11178
5206060;57200;28638;28562;38323
5206090;12764;6421;6343;8551
5206011;9385;4648;4737;6289
5206041;26746;13190;13556;17923
5206010;36094;18228;17866;24179
5206021;29537;14469;15068;19796
5206051;28380;14087;14293;19016
5206030;47376;23632;23744;31743
5206070;30277;15009;15268;20288
5206050;17556;8519;9037;11768
5206091;37630;3762;33868;25513
