BPS_ID#;KECAMATAN NAME;2010_male;2010_female;2010_total;2015_male;2015_female;2015_total;2015_adult;poverty_rupiah;poverty_people;poverty_percent;electricty_percent
8208020;Taliabu Selatan;4453;4285;8738;3587;3504;7091;4657;286373;496;6,99;39,15
8208050;Taliabu Timur;1861;1681;3542;1985;1804;3789;2489;286373;517;13,64;11,29
8208040;Taliabu Timur Selatan;2673;2393;5066;2500;2291;4791;3147;286373;515;10,75;32,35
8208060;Taliabu Utara;5610;5270;10880;6095;5752;11848;7781;286373;791;6,68;47,63
5206071;Ambalawi;9106;9066;18172;9698;9671;19369;13002;255962;4708;24,31;89,68
5206040;Belo;12295;12645;24940;13080;13469;26549;17822;255962;1740;6,55;99,9
5206020;Bolo;22085;22174;44259;23497;23624;47121;31632;255962;5092;10,81;98,58
5206080;Donggo;8257;8496;16753;8792;9076;17868;11994;255962;3412;19,1;95,76
5206052;Lambitu;2563;2511;5074;2740;2687;5427;3643;255962;774;14,26;84,13
5206061;Lambu;17105;17175;34280;18212;18324;36536;24526;255962;8321;22,77;98,16
5206051;Langgudu;13058;13234;26292;13909;14126;28035;18820;255962;5418;19,33;72,6
5206021;Mada Pangga;13414;13971;27385;14287;14890;29177;19586;255962;1988;6,81;100
5206010;Monta;16901;16538;33439;17998;17658;35656;23936;255962;5812;16,3;93,8
5206041;Palibelo;12228;12558;24786;13025;13398;26423;17737;255962;2931;11,09;98,39
5206011;Parado;4308;4394;8702;4589;4682;9271;6224;255962;1449;15,63;98,73
5206090;Sanggar;5951;5875;11826;6340;6270;12610;8465;255962;2118;16,8;97,93
5206060;Sape;26568;26496;53064;28277;28231;56508;37933;255962;9550;16,9;98,5
5206081;Soromandi;7723;7745;15468;8220;8260;16480;11063;255962;3786;22,97;99,33
5206091;Tambora;3479;3123;6602;3715;3347;7063;4741;255962;2818;39,9;22,39
5206050;Wawo;7899;8351;16250;8410;8934;17344;11643;255962;1861;10,73;98,97
5206070;Wera;13908;14124;28032;14819;15090;29909;20077;255962;6979;23,33;93,99
5206030;Woha;21911;21993;43904;23334;23468;46803;31418;255962;4953;10,58;99,71
5205020;Dompu;24894;24960;49854;27071;27141;54212;35520;243467;5895;10,87;99,09
5205010;Hu'U;8088;7962;16050;8795;8658;17453;11435;243467;2769;15,87;99,03
5205050;Kempo;9220;8965;18185;10026;9748;19774;12956;243467;2985;15,1;92,68
5205040;Kilo;6100;5871;11971;6633;6384;13017;8529;243467;3136;24,09;82,68
5205051;Manggalewa;14040;13737;27777;15268;14937;30205;19790;243467;4571;15,13;96,52
5205011;Pajo;6365;6180;12545;6922;6720;13641;8938;243467;1300;9,53;97,9
5205060;Pekat;15658;15229;30887;17027;16560;33587;22006;243467;6038;17,98;87,48
5205030;Woja;26300;25404;51704;28600;27624;56224;36838;243467;9244;16,44;95,12
5272030;Asakota;14061;13844;27905;15320;15907;31228;22327;274394;5534;17,72;98,93
5272011;Mpunda;15413;17085;32498;17841;18526;36368;26002;274394;1401;3,85;100
5272021;Raba;17061;17784;34845;19132;19862;38994;27879;274394;3979;10,2;99,41
5272010;Rasanae Barat;15446;15680;31126;17089;17743;34831;24903;274394;1913;5,49;100
